imone,savivaldybe,adresas,tipas,kaina,data
Alauša,Utenos r. sav.,"Palijoniškio g. 1, Utena",95 benzinas,1.679,2026-04-20
Alauša,Visagino sav.,"Kosmoso g. 3, Visaginas",95 benzinas,1.639,2026-04-20
Alauša,Kauno m. sav.,"Palemono g. 171, Kaunas",95 benzinas,1.679,2026-04-20
Alauša,Vilniaus m. sav.,"Kalvarijų g. 204G, Vilnius",95 benzinas,1.649,2026-04-20
Alauša,Vilniaus m. sav.,"Kirtimų g. 23A, Vilnius",95 benzinas,1.669,2026-04-20
Alauša,Vilniaus m. sav.,"Pelesos g. 1/2, Vilnius",95 benzinas,1.699,2026-04-20
Alauša,Ukmergės r. sav.,"Kauno g. 37, Ukmergė",95 benzinas,1.634,2026-04-20
Alauša,Utenos r. sav.,"Plento g. 17, Daugailiai",95 benzinas,1.679,2026-04-20
Alauša,Anykščių r. sav.,Bajorų k.,95 benzinas,1.739,2026-04-20
Alauša,Šiaulių r. sav.,"Plento g. 2B, Kairiai",95 benzinas,1.699,2026-04-20
Alauša,Vilniaus m. sav.,"Vilniaus g. 8, Grigiškės",95 benzinas,1.699,2026-04-20
Alauša,Marijampolės sav.,"Plytinės g. 2, Puskelnių k.",95 benzinas,1.644,2026-04-20
Alauša,Marijampolės sav.,"Stoties g. 49, Marijampolė",95 benzinas,1.644,2026-04-20
Alauša,Širvintų r. sav.,"Paširvio g. 1, Paširvinčio k.",95 benzinas,1.634,2026-04-20
Alauša,Šakių r. sav.,"Šakių g. 51, Kudirkos Naumiestis",95 benzinas,1.699,2026-04-20
Alauša,Šalčininkų r. sav.,"Skraičionių g. 1, Skraičionių k.",95 benzinas,1.699,2026-04-20
Alauša,Kalvarijos sav.,"Europos g. 17, Salaperaugio k.",95 benzinas,1.689,2026-04-20
Alauša,Ignalinos r. sav.,"Švenčionių g. 29A, Ignalina",95 benzinas,1.729,2026-04-20
Alauša,Vilniaus m. sav.,"Šiaurės g. 39, Vilnius",95 benzinas,1.699,2026-04-20
Alauša,Marijampolės sav.,"Sporto g. 50A, Marijampolė",95 benzinas,1.644,2026-04-20
Alauša,Utenos r. sav.,"J. Basanavičiaus g. 1C, Utena",95 benzinas,1.654,2026-04-20
Alauša,Vilniaus m. sav.,"Šv. Stepono g. 44, Vilnius",95 benzinas,1.639,2026-04-20
Alauša,Vilniaus m. sav.,"Buivydiškių g. 5, Vilnius",95 benzinas,1.679,2026-04-20
Alauša,Alytaus r. sav.,"Santaikos g. 2A, Santaikos k.",95 benzinas,1.699,2026-04-20
Alauša,Vilniaus m. sav.,"Laisvės pr. 125A, Vilnius",95 benzinas,1.679,2026-04-20
Alauša,Rokiškio r. sav.,"Dariaus ir Girėno g. 36, Obeliai",95 benzinas,1.709,2026-04-20
Alauša,Anykščių r. sav.,"A. Vienuolio g. 32A, Anykščiai",95 benzinas,1.654,2026-04-20
Apsaga,Šiaulių m. sav.,"Vilniaus g.16, Šiauliai",95 benzinas,1.739,2026-04-20
Apsaga,Šiaulių m. sav.,"Pramonės g. 3A, Šiauliai",95 benzinas,1.739,2026-04-20
Apsaga,Šiaulių m. sav.,"Pramonės g. 28, Šiauliai",95 benzinas,1.739,2026-04-20
Apsaga,Šiaulių m. sav.,"Nuklono g. 4, Šiauliai",95 benzinas,1.749,2026-04-20
Apsaga,Šiaulių m. sav.,"Tilžės g. 223, Šiauliai",95 benzinas,1.739,2026-04-20
Apsaga,Šiaulių m. sav.,"V. Bielskio g. 47A, Šiauliai",95 benzinas,1.74,2026-04-20
Apsaga,Radviliškio r. sav.,"Šiaulių g.12, Radviliškis",95 benzinas,1.755,2026-04-20
Apsaga,Radviliškio r. sav.,"Beržų g. 19, Baisogalos k.",95 benzinas,1.765,2026-04-20
Apsaga,Joniškio r. sav.,Radikių k.,95 benzinas,1.729,2026-04-20
Baltic Petroleum,Vilniaus m. sav.,"Vilnius, Antakalnio g. 128",95 benzinas,1.679,2026-04-20
Baltic Petroleum,Jonavos r. sav.,"Gudžionių k., Plento g. 24",95 benzinas,1.709,2026-04-20
Baltic Petroleum,Vilniaus m. sav.,"Vilnius, Gerosios Vilties g. 33",95 benzinas,1.739,2026-04-20
Baltic Petroleum,Vilniaus m. sav.,"Vilnius, Savanorių pr. 121",95 benzinas,1.649,2026-04-20
Baltic Petroleum,Kauno m. sav.,"Kaunas, Raudondvario pl. 82",95 benzinas,1.669,2026-04-20
Baltic Petroleum,Kauno m. sav.,"Kaunas, Jonavos g. 60A",95 benzinas,1.659,2026-04-20
Baltic Petroleum,Kauno r. sav.,Jaučiakių k.,95 benzinas,1.749,2026-04-20
Baltic Petroleum,Klaipėdos m. sav.,"Klaipėda, Šilutės pl. 1",95 benzinas,1.599,2026-04-20
Baltic Petroleum,Palangos m. sav.,"Palanga, Klaipėdos pl. 44",95 benzinas,1.729,2026-04-20
Baltic Petroleum,Šilutės r. sav.,"Šilutė, Klaipėdos g. 4A",95 benzinas,1.679,2026-04-20
Baltic Petroleum,Neringos sav.,"Neringa, Nidos-Smiltynės pl. 6",95 benzinas,1.769,2026-04-20
Baltic Petroleum,Alytaus m. sav.,"Alytus, Santaikos g. 33",95 benzinas,1.639,2026-04-20
Baltic Petroleum,Druskininkų sav.,"Druskininkai, Gardino g. 79",95 benzinas,1.729,2026-04-20
Baltic Petroleum,Lazdijų r. sav.,"Lazdijai, Turistų g. 88",95 benzinas,1.669,2026-04-20
Baltic Petroleum,Telšių r. sav.,"Telšiai, Šiaulių pl. 12",95 benzinas,1.719,2026-04-20
Baltic Petroleum,Joniškio r. sav.,"Joniškis, Vilniaus g. 72",95 benzinas,1.679,2026-04-20
Baltic Petroleum,Radviliškio r. sav.,"Radviliškis, Miško g. 64",95 benzinas,1.689,2026-04-20
Baltic Petroleum,Panevėžio m. sav.,"Panevėžys, Velžio kelias 74",95 benzinas,1.649,2026-04-20
Baltic Petroleum,Utenos r. sav.,"Utena, Basanavičiaus g. 1B",95 benzinas,1.659,2026-04-20
Baltic Petroleum,Raseinių r. sav.,"Raseiniai, Vilniaus g. 30",95 benzinas,1.659,2026-04-20
Baltic Petroleum,Jurbarko r. sav.,"Jurbarkas, Muitinės g. 22A",95 benzinas,1.68,2026-04-20
Baltic Petroleum,Prienų r. sav.,"Prienai, Vilniaus g. 3A",95 benzinas,1.699,2026-04-20
Baltic Petroleum,Kėdainių r. sav.,"Kėdainiai, J. Basanavičiaus g. 95B",95 benzinas,1.709,2026-04-20
Baltic Petroleum,Ukmergės r. sav.,"Ukmergė, Kauno g. 49",95 benzinas,1.639,2026-04-20
Baltic Petroleum,Biržų r. sav.,Valantiškio k.,95 benzinas,1.709,2026-04-20
Baltic Petroleum,Šakių r. sav.,"Šakiai, Sodų g. 1",95 benzinas,1.689,2026-04-20
Baltic Petroleum,Skuodo r. sav.,"Skuodas, Vytauto g. 22",95 benzinas,1.689,2026-04-20
Baltic Petroleum,Vilniaus m. sav.,Vilnius  Kalvarijų g. 161A,95 benzinas,1.669,2026-04-20
Baltic Petroleum,Trakų r. sav.,"Trakai, Vilniaus g. 33",95 benzinas,1.729,2026-04-20
Baltic Petroleum,Molėtų r. sav.,"Molėtai, Vilniaus g.104",95 benzinas,1.679,2026-04-20
Baltic Petroleum,Kauno m. sav.,"Kaunas, Minkovskių g. 132",95 benzinas,1.729,2026-04-20
Baltic Petroleum,Varėnos r. sav.,"Varėna, Čiurlionio g. 63",95 benzinas,1.719,2026-04-20
