imone,savivaldybe,adresas,tipas,kaina,data
Baltic Petroleum,Marijampolės sav.,Pasiekų k.,95 benzinas,1.809,2026-04-08
Baltic Petroleum,Mažeikių r. sav.,"Mažeikiai, M. Daukšos g. 17",95 benzinas,1.789,2026-04-08
Baltic Petroleum,Mažeikių r. sav.,"Užežerės k., Gardenio g. 39",95 benzinas,1.789,2026-04-08
Baltic Petroleum,Molėtų r. sav.,"Molėtai, Vilniaus g.104",95 benzinas,1.849,2026-04-08
Baltic Petroleum,Akmenės r. sav.,"N. Akmenė, V. Kudirkos g. 21A",95 benzinas,1.76,2026-04-08
Baltic Petroleum,Neringos sav.,"Neringa, Nidos-Smiltynės pl. 6",95 benzinas,1.869,2026-04-08
Baltic Petroleum,Pakruojo r. sav.,"Pakruojis, Statybininkų g. 28",95 benzinas,1.769,2026-04-08
Baltic Petroleum,Palangos sav.,"Palanga, Ganyklų g. 28C",95 benzinas,1.769,2026-04-08
Baltic Petroleum,Palangos sav.,"Palanga, Klaipėdos pl. 44",95 benzinas,1.809,2026-04-08
Baltic Petroleum,Panevėžio m. sav.,"Panevėžys, Smėlynės g. 169",95 benzinas,1.789,2026-04-08
Baltic Petroleum,Panevėžio m. sav.,"Panevėžys, Velžio kelias 74",95 benzinas,1.779,2026-04-08
Baltic Petroleum,Pasvalio r. sav.,"Aukštikalnio k., Mūšos g. 19",95 benzinas,1.73,2026-04-08
Baltic Petroleum,Plungės r. sav.,"Plateliai,  Ž. Kalvarijos g. 1A",95 benzinas,1.829,2026-04-08
Baltic Petroleum,Klaipėdos r. sav.,"Priekulė, Klaipėdos g. 61",95 benzinas,1.83,2026-04-08
Baltic Petroleum,Prienų r. sav.,"Prienai, Vilniaus g. 3A",95 benzinas,1.829,2026-04-08
Baltic Petroleum,Prienų r. sav.,Veiverių k.,95 benzinas,1.829,2026-04-08
Baltic Petroleum,Radviliškio r. sav.,Užuovėjos k.,95 benzinas,1.769,2026-04-08
Baltic Petroleum,Radviliškio r. sav.,"Radviliškis, Miško g. 64",95 benzinas,1.789,2026-04-08
Baltic Petroleum,Radviliškio r. sav.,"Radviliškis, Šiaulių g. 1A",95 benzinas,1.789,2026-04-08
Baltic Petroleum,Raseinių r. sav.,"Raseiniai, Vilniaus g. 30",95 benzinas,1.769,2026-04-08
Baltic Petroleum,Raseinių r. sav.,Kalnujų k. 1,95 benzinas,1.809,2026-04-08
Baltic Petroleum,Rokiškio r. sav.,"Pandėlio k., Elektrinės g. 1",95 benzinas,1.829,2026-04-08
Baltic Petroleum,Telšių r. sav.,"Telšiai, Šiaulių pl. 12",95 benzinas,1.849,2026-04-08
Baltic Petroleum,Telšių r. sav.,"Ožtakių k., Dariaus ir Girėno g. 77",95 benzinas,1.849,2026-04-08
Baltic Petroleum,Trakų r. sav.,"Trakai, Vilniaus g. 33",95 benzinas,1.849,2026-04-08
Baltic Petroleum,Ukmergės r. sav.,"Ukmergė, Kauno g. 49",95 benzinas,1.799,2026-04-08
Baltic Petroleum,Utenos r. sav.,"Utena, Basanavičiaus g. 1B",95 benzinas,1.799,2026-04-08
Baltic Petroleum,Varėnos r. sav.,"Varėna, Čiurlionio g. 63",95 benzinas,1.879,2026-04-08
Baltic Petroleum,Varėnos r. sav.,"Merkinė, Vilniaus g. 87",95 benzinas,1.869,2026-04-08
Baltic Petroleum,Varėnos r. sav.,"Senoji Varėna, Vilniaus g. 6A",95 benzinas,1.879,2026-04-08
Baltic Petroleum,Vilniaus r. sav.,Vilkaraisčio k.,95 benzinas,1.78,2026-04-08
Baltic Petroleum,Vilniaus m. sav.,"Vilnius, Antakalnio g. 128",95 benzinas,1.769,2026-04-08
Baltic Petroleum,Vilniaus m. sav.,"Vilnius, Gerosios Vilties g. 33",95 benzinas,1.869,2026-04-08
Baltic Petroleum,Vilniaus m. sav.,Vilnius  Kalvarijų g. 161A,95 benzinas,1.769,2026-04-08
Baltic Petroleum,Vilniaus m. sav.,"Vilnius, Metalo g. 4B",95 benzinas,1.809,2026-04-08
Baltic Petroleum,Vilniaus m. sav.,"Vilnius, Molėtų pl. 27A",95 benzinas,1.799,2026-04-08
Baltic Petroleum,Vilniaus m. sav.,"Vilnius, Rinktinės g. 59",95 benzinas,1.789,2026-04-08
Baltic Petroleum,Vilniaus m. sav.,"Vilnius, S. Batoro g. 15",95 benzinas,1.789,2026-04-08
Baltic Petroleum,Vilniaus m. sav.,"Vilnius, Savanorių pr. 121",95 benzinas,1.799,2026-04-08
Baltic Petroleum,Šakių r. sav.,"Šakiai, Sodų g. 1",95 benzinas,1.789,2026-04-08
Baltic Petroleum,Šalčininkų r. sav.,"Šalčininkai, Vilniaus g. 5A",95 benzinas,1.879,2026-04-08
Baltic Petroleum,Šilalės r. sav.,"Šilalė, Rytinio Kelio g. 2",95 benzinas,1.769,2026-04-08
Baltic Petroleum,Šilutės r. sav.,"Šilutė, Klaipėdos g. 4A",95 benzinas,1.769,2026-04-08
Baltic Petroleum,Širvintų r. sav.,"Širvintos, Musninkų g. 21",95 benzinas,1.769,2026-04-08
Baltic Petroleum,Rietavo sav.,"Rietavas, Dariaus ir Girėno g. 19",95 benzinas,1.78,2026-04-08
Baltic Petroleum,Jonavos r. sav.,"Jonava, Žemaitės g. 1",95 benzinas,1.879,2026-04-08
Baltic Petroleum,Vilniaus r. sav.,Užubalių k. Senasis Ukmergės kelias 4,95 benzinas,1.789,2026-04-08
Baltic Petroleum,Šakių r. sav.,Griškabūdis,95 benzinas,1.769,2026-04-08
Baltic Petroleum,Vilniaus m. sav.,"Vilnius, Brazdžionio g. 2",95 benzinas,1.769,2026-04-08
Baltic Petroleum,Alytaus r. sav.,Likiškėlių k.,95 benzinas,1.769,2026-04-08
Baltic Petroleum,Šiaulių m. sav.,"Šiauliai, Kupiškio g. 4",95 benzinas,1.749,2026-04-08
Baltic Petroleum,Joniškio r. sav.,"Joniškis, Vilniaus g. 72",95 benzinas,1.699,2026-04-08
Baltic Petroleum,Vilniaus r. sav.,"Grigaičiai, Pavilnės g.",95 benzinas,1.769,2026-04-08
Baltic Petroleum,Kauno r. sav.,"Ringaudų k., Gėlių g. 1A",95 benzinas,1.789,2026-04-08
Baltic Petroleum,Zarasų r. sav.,"Sarakiškių k., Vytauto g. 61",95 benzinas,1.789,2026-04-08
Baltic Petroleum,Vilniaus m. sav.,Visalaukio g. 2,95 benzinas,1.789,2026-04-08
Baltic Petroleum,Klaipėdos m. sav.,"Klaipėda, Tilžės g. 90",95 benzinas,1.769,2026-04-08
Baltic Petroleum,Jurbarko r. sav.,"Klišių k., Pievų g. 2",95 benzinas,1.78,2026-04-08
Baltic Petroleum,Kupiškio r. sav.,"Noriūnų k., Parko g. 3A",95 benzinas,1.739,2026-04-08
Baltic Petroleum,Zarasų r. sav.,"Padustėlis, V. Striogos g. 4A",95 benzinas,1.789,2026-04-08
Baltic Petroleum,Tauragės r. sav.,"Taurų k., Tilžės pl. 36",95 benzinas,1.769,2026-04-08
Baltic Petroleum,Skuodo r. sav.,"Skuodas, Vytauto g. 22",95 benzinas,1.789,2026-04-08
Baltic Petroleum,Raseinių r. sav.,"Girkalnio k., Žemaičių g. 39",95 benzinas,1.749,2026-04-08
Baltic Petroleum,Šilalės r. sav.,Bučių k.,95 benzinas,1.79,2026-04-08
Baltic Petroleum,Mažeikių r. sav.,"Tirkšliai, Laukų g. 10",95 benzinas,1.789,2026-04-08
Baltic Petroleum,Vilniaus m. sav.,"Vilnius, Zujūnų g. 2A",95 benzinas,1.789,2026-04-08
Baltic Petroleum,Klaipėdos r. sav.,"Gargždai, Dariaus ir Girėno g. 10",95 benzinas,1.769,2026-04-08
Circle K,Vilniaus m. sav.,"Geležinio Vilko g. 2A, Vilnius",95 benzinas,1.889,2026-04-08
Circle K,Vilniaus m. sav.,"Baltupio g. 10, Vilnius",95 benzinas,1.859,2026-04-08
Circle K,Vilniaus m. sav.,"A. P. Kavoliuko g. 32A, Vilnius",95 benzinas,1.879,2026-04-08
Circle K,Vilniaus m. sav.,"Sporto g. 16A, Vilnius",95 benzinas,1.889,2026-04-08
Circle K,Vilniaus m. sav.,"Ukmergės g. 231, Vilnius",95 benzinas,1.884,2026-04-08
Circle K,Vilniaus m. sav.,"Kareivių g. 13, Vilnius",95 benzinas,1.898,2026-04-08
Circle K,Vilniaus m. sav.,"A. Goštauto g. 13, Vilnius",95 benzinas,1.909,2026-04-08
Circle K,Vilniaus m. sav.,"Laisvės pr. 43C, Vilnius",95 benzinas,1.879,2026-04-08
Circle K,Vilniaus m. sav.,"J. Tiškevičiaus g. 24, Vilnius",95 benzinas,1.889,2026-04-08
Circle K,Vilniaus m. sav.,"Eišiškių pl. 11, Vilnius",95 benzinas,1.889,2026-04-08
Circle K,Kauno m. sav.,"Pramonės pr. 18, Kaunas",95 benzinas,1.898,2026-04-08
Circle K,Kauno r. sav.,"Baltijos g. 1, Mastaičių k.",95 benzinas,1.898,2026-04-08
Circle K,Kauno m. sav.,"Raudondvario pl. 107A, Kaunas",95 benzinas,1.898,2026-04-08
Circle K,Vilniaus r. sav.,"Sudervės g. 2G, Avižienių k.",95 benzinas,1.898,2026-04-08
Circle K,Kauno m. sav.,"R. Kalantos g. 159, Kaunas",95 benzinas,1.898,2026-04-08
Circle K,Alytaus m. sav.,"Naujoji g. 120, Alytus",95 benzinas,1.888,2026-04-08
Circle K,Kauno m. sav.,"Savanorių pr. 321, Kaunas",95 benzinas,1.898,2026-04-08
Circle K,Kauno m. sav.,"Veiverių g. 49A, Kaunas",95 benzinas,1.898,2026-04-08
Circle K,Šiaulių m. sav.,"Dubijos g. 20A, Šiauliai",95 benzinas,1.879,2026-04-08
Circle K,Vilniaus m. sav.,"Talino g. 2B, Vilnius",95 benzinas,1.899,2026-04-08
Circle K,Šiaulių m. sav.,"Pramonės g. 17a, Šiauliai",95 benzinas,1.889,2026-04-08
Circle K,Elektrėnų sav.,"Sabališkių g. 1F, Elektrėnai",95 benzinas,1.898,2026-04-08
Circle K,Utenos r. sav.,"J. Basanavičiaus g. 108a, Utena",95 benzinas,1.879,2026-04-08
Circle K,Panevėžio r. sav.,"Baltijos Kelio g. 33, Ūtos k.",95 benzinas,1.889,2026-04-08
Circle K,Palangos sav.,"Kretingos g. 56, Palanga",95 benzinas,1.899,2026-04-08
Circle K,Šiaulių r. sav.,"Plento g. 1, Kuršėnai",95 benzinas,1.889,2026-04-08
Circle K,Klaipėdos m. sav.,"Minijos g. 90, Klaipėda",95 benzinas,1.898,2026-04-08
Circle K,Klaipėdos m. sav.,"Taikos pr. 61B, Klaipėda",95 benzinas,1.898,2026-04-08
Circle K,Klaipėdos m. sav.,"H. Manto g. 96, Klaipėda",95 benzinas,1.898,2026-04-08
Circle K,Marijampolės sav.,"Kauno g. 130, Marijampolė",95 benzinas,1.889,2026-04-08
Circle K,Alytaus m. sav.,"Rūtų g. 2B, Alytus",95 benzinas,1.879,2026-04-08
Circle K,Druskininkų sav.,"M. K. Čiurlionio g. 113, Druskininkai",95 benzinas,1.899,2026-04-08
Circle K,Panevėžio m. sav.,"J. Basanavičiaus g. 63, Panevėžys",95 benzinas,1.839,2026-04-08
Circle K,Panevėžio m. sav.,"Parko g. 7A, Panevėžys",95 benzinas,1.864,2026-04-08
Circle K,Marijampolės sav.,"Jono Dailidės g. 10, Marijampolė",95 benzinas,1.859,2026-04-08
Circle K,Kėdainių r. sav.,"J. Basanavičiaus g. 40a, Kėdainiai",95 benzinas,1.879,2026-04-08
Circle K,Ukmergės r. sav.,"Ežero g. 7, Kurėnų k.",95 benzinas,1.898,2026-04-08
Circle K,Telšių r. sav.,"Luokės g. 70, Telšiai",95 benzinas,1.889,2026-04-08
Circle K,Šilutės r. sav.,"Cintjoniškių g. 15, Šilutė",95 benzinas,1.869,2026-04-08
Circle K,Varėnos r. sav.,"Savanorių g. 5, Varėna",95 benzinas,1.889,2026-04-08
Circle K,Mažeikių r. sav.,"Žemaitijos g. 57, Mažeikiai",95 benzinas,1.889,2026-04-08
Circle K,Joniškio r. sav.,"Sidabros g. 2A, Satkūnų k.",95 benzinas,1.889,2026-04-08
Circle K,Rokiškio r. sav.,"Respublikos g. 111A, Rokiškis",95 benzinas,1.889,2026-04-08
Circle K,Jonavos r. sav.,"Vasario 16-osios g. 33, Jonava",95 benzinas,1.869,2026-04-08
Circle K,Vilniaus m. sav.,"Geležinio Vilko g. 39, Vilnius",95 benzinas,1.889,2026-04-08
Circle K,Kretingos r. sav.,"Klaipėdos g. 155, Kretinga",95 benzinas,1.889,2026-04-08
Circle K,Vilniaus m. sav.,"Prūsų g. 26 A, Vilnius",95 benzinas,1.909,2026-04-08
Circle K,Radviliškio r. sav.,"Gedimino g. 42B, Radviliškis",95 benzinas,1.879,2026-04-08
Circle K,Tauragės r. sav.,"Gedimino g. 47, Tauragė",95 benzinas,1.898,2026-04-08
Circle K,Panevėžio r. sav.,"Panevėžio aplinkl. 20, Šilagalio k.",95 benzinas,1.869,2026-04-08
Circle K,Kauno m. sav.,"Vakarinis aplinkkelis 10, Kaunas",95 benzinas,1.889,2026-04-08
Circle K,Kauno m. sav.,"Žemaičių pl. 19, Kaunas",95 benzinas,1.889,2026-04-08
Circle K,Šilalės r. sav.,"Dvaro g. 3, Košių II k.",95 benzinas,1.898,2026-04-08
Circle K,Klaipėdos r. sav.,"Vilniaus pl. 21, Jakų k.",95 benzinas,1.889,2026-04-08
Circle K,Vilniaus m. sav.,"Geležinio Vilko g. 24, Vilnius",95 benzinas,1.889,2026-04-08
Circle K,Kauno m. sav.,"Taikos pr. 52A, Kaunas",95 benzinas,1.898,2026-04-08
Circle K,Biržų r. sav.,"Kilučių g. 93, Biržai",95 benzinas,1.839,2026-04-08
Circle K,Kauno m. sav.,"Briedžių takas 6B, Kaunas",95 benzinas,1.889,2026-04-08
Circle K,Kauno m. sav.,"Islandijos pl. 61C, Kaunas",95 benzinas,1.889,2026-04-08
Circle K,Kauno m. sav.,"Karaliaus Mindaugo pr. 34A, Kaunas",95 benzinas,1.918,2026-04-08
Circle K,Trakų r. sav.,"Didžiulio g. 5, Dėdeliškių k.",95 benzinas,1.898,2026-04-08
Circle K,Utenos r. sav.,"J. Basanavičiaus g. 3, Utena",95 benzinas,1.854,2026-04-08
Circle K,Lazdijų r. sav.,Nekrūnų k. 1,95 benzinas,1.849,2026-04-08
Circle K,Vilkaviškio r. sav.,"Vilkaviškio g. 10, Serdokų k.",95 benzinas,1.789,2026-04-08
Circle K,Klaipėdos m. sav.,"Taikos pr. 112A, Klaipėda",95 benzinas,1.869,2026-04-08
Circle K,Klaipėdos m. sav.,"Vilniaus pl. 1A, Klaipėda",95 benzinas,1.889,2026-04-08
Circle K,Raseinių r. sav.,Pikelių k. 1,95 benzinas,1.898,2026-04-08
Circle K,Kalvarijos sav.,"Europos g. 13a, Salaperaugio k.",95 benzinas,1.898,2026-04-08
Circle K,Kalvarijos sav.,"Muitinės g. 5B, Brazavo k.",95 benzinas,1.898,2026-04-08
Circle K,Šiaulių m. sav.,"Vilniaus g. 62, Šiauliai",95 benzinas,1.849,2026-04-08
Circle K,Kauno m. sav.,"R. Kalantos g. 68, Kaunas",95 benzinas,1.868,2026-04-08
Circle K,Kauno m. sav.,"Varnių g. 46, Kaunas",95 benzinas,1.869,2026-04-08
Circle K,Vilniaus m. sav.,"Oslo g. 12, Vilnius",95 benzinas,1.879,2026-04-08
Circle K,Tauragės r. sav.,"Dariaus ir Girėno g. 83A, Tauragė",95 benzinas,1.839,2026-04-08
Circle K,Kauno m. sav.,"Islandijos pl. 32, Kaunas",95 benzinas,1.899,2026-04-08
Circle K,Vilniaus m. sav.,"Savanorių pr. 118, Vilnius",95 benzinas,1.859,2026-04-08
Circle K,Vilniaus m. sav.,"P. Žadeikos g. 1a, Vilnius",95 benzinas,1.889,2026-04-08
Circle K,Vilniaus m. sav.,"Savanorių pr. 119A, Vilnius",95 benzinas,1.859,2026-04-08
Circle K,Vilniaus m. sav.,"Kareivių g. 3, Vilnius",95 benzinas,1.844,2026-04-08
Circle K,Vilniaus m. sav.,"Geležinio Vilko g. 4, Vilnius",95 benzinas,1.889,2026-04-08
Circle K,Vilniaus m. sav.,"Gariūnų g. 45, Vilnius",95 benzinas,1.889,2026-04-08
Circle K,Kauno m. sav.,"Savanorių pr. 404B, Kaunas",95 benzinas,1.869,2026-04-08
Circle K,Kauno m. sav.,"Tvirtovės alėja 33a, Kaunas",95 benzinas,1.898,2026-04-08
Circle K,Kauno m. sav.,"Sukilėlių pr. 120, Kaunas",95 benzinas,1.898,2026-04-08
Circle K,Kauno m. sav.,"K. Baršausko g. 57, Kaunas",95 benzinas,1.878,2026-04-08
Circle K,Kauno m. sav.,"Jonavos g. 38, Kaunas",95 benzinas,1.898,2026-04-08
Circle K,Šiaulių m. sav.,"Tilžės g. 25, Šiauliai",95 benzinas,1.879,2026-04-08
Circle K,Klaipėdos m. sav.,"Tilžės g. 56A, Klaipėda",95 benzinas,1.889,2026-04-08
Circle K,Klaipėdos m. sav.,"Jūrininkų pr. 31, Klaipėda",95 benzinas,1.879,2026-04-08
Circle K,Klaipėdos m. sav.,"Sausio 15-osios g. 2, Klaipėda",95 benzinas,1.909,2026-04-08
Circle K,Panevėžio m. sav.,"Klaipėdos g. 92A, Panevėžys",95 benzinas,1.844,2026-04-08
Circle K,Vilniaus r. sav.,"Molėtų g. 15, Didžiosios Riešės k.",95 benzinas,1.889,2026-04-08
Gelvybė,Šakių r. sav.,"V. Kudirkos g. 11D, Šakiai",95 benzinas,1.789,2026-04-08
Gelvybė,Jurbarko r. sav.,"Muitinės g. 32, Jurbarkas",95 benzinas,1.79,2026-04-08
Gelvybė,Jurbarko r. sav.,"Knygnešių g. 9, Jurbarkas",95 benzinas,1.79,2026-04-08
Gelvybė,Kėdainių r. sav.,"Aristavos g. 4, Aristava",95 benzinas,1.789,2026-04-08
Gelvybė,Šakių r. sav.,"Mozūriškiai, Mozūriškių 10",95 benzinas,1.78,2026-04-08
Gelvybė,Šakių r. sav.,"Sūduvos g. 3, Kiduliai",95 benzinas,1.79,2026-04-08
Gelvybė,Šakių r. sav.,"Kauno g. 50, Girėnai",95 benzinas,1.789,2026-04-08
Gelvybė,Jurbarko r. sav.,"S. Šimkaus g. 69, Seredžius",95 benzinas,1.79,2026-04-08
Gelvybė,Vilkaviškio r. sav.,"Marijampolės g. 8, Rūdos k.",95 benzinas,1.759,2026-04-08
Gelvybė,Jurbarko r. sav.,"S. Daukanto g. 66, Jurbarkas",95 benzinas,1.79,2026-04-08
Jozita,Šilalės r. sav.,"Šolių k., Pietinio Kelio g. 9",95 benzinas,1.79,2026-04-08
Jozita,Vilniaus m. sav.,"Vilnius, Ukmergės g. 130",95 benzinas,1.759,2026-04-08
Jozita,Vilniaus m. sav.,"Vilnius, Parko g. 64",95 benzinas,1.79,2026-04-08
Jozita,Vilniaus m. sav.,"Vilnius, Pramonės g. 18",95 benzinas,1.76,2026-04-08
Jozita,Vilniaus r. sav.,"Rudamina, Jašiūnų g. 2",95 benzinas,1.76,2026-04-08
Jozita,Kauno m. sav.,"Kaunas, Kuršių 13A",95 benzinas,1.76,2026-04-08
Jozita,Kauno m. sav.,"Kaunas, Jonavos g. 51",95 benzinas,1.76,2026-04-08
Jozita,Kauno m. sav.,"Kaunas, Betygalos g. 8",95 benzinas,1.76,2026-04-08
Jozita,Kauno m. sav.,"Kaunas, Baltų pr. 141A",95 benzinas,1.76,2026-04-08
Jozita,Kauno m. sav.,"Kaunas, Partizanų g. 87G",95 benzinas,1.76,2026-04-08
Jozita,Kauno r. sav.,"Garliava, Vytauto g. 111A",95 benzinas,1.76,2026-04-08
Jozita,Kauno r. sav.,"Ramučiai, K. Bielinio g. 2A",95 benzinas,1.76,2026-04-08
Jozita,Klaipėdos r. sav.,"Klipščių k., Šilelių g.1",95 benzinas,1.76,2026-04-08
Jozita,Klaipėdos m. sav.,"Klaipėda, Taikos pr. 157",95 benzinas,1.76,2026-04-08
Jozita,Klaipėdos r. sav.,"Gargždai, Gamyklos g. 1",95 benzinas,1.76,2026-04-08
Jozita,Klaipėdos r. sav.,"Trepkalnių k., Mokyklos g. 2",95 benzinas,1.76,2026-04-08
Jozita,Šiaulių m. sav.,"Šiauliai, Architektų g. 80",95 benzinas,1.76,2026-04-08
Jozita,Šiaulių m. sav.,"Šiauliai, Girulių g. 1",95 benzinas,1.76,2026-04-08
Jozita,Šiaulių r. sav.,"Toliočiai, Plento g. 2B",95 benzinas,1.76,2026-04-08
Jozita,Kelmės r. sav.,"Kelmė, V.Putvinskio g. 37",95 benzinas,1.75,2026-04-08
Jozita,Raseinių r. sav.,"Raseiniai, Maironio g. 78b",95 benzinas,1.76,2026-04-08
Jozita,Pakruojo r. sav.,Kuosiškių k. 4,95 benzinas,1.76,2026-04-08
Jozita,Šilutės r. sav.,"Traksėdžių k., Klaipėdos. 1",95 benzinas,1.76,2026-04-08
Jozita,Plungės r. sav.,"Varkaliai, Žemaičių g. 2A",95 benzinas,1.76,2026-04-08
Jozita,Tauragės r. sav.,"Papušynės k, Šilalės g. 105",95 benzinas,1.76,2026-04-08
Jozita,Panevėžio m. sav.,"Panevėžys, S. Kerbedžio g. 7F",95 benzinas,1.76,2026-04-08
Eniris,Prienų r. sav.,"Alytaus pl. 2, Mardosų k.",95 benzinas,1.74,2026-04-08
Eniris,Jurbarko r. sav.,"Tauragės g. 29, Rimšų k.",95 benzinas,1.83,2026-04-08
Eniris,Kelmės r. sav.,"Puttvinskio g. 29, Kelmė",95 benzinas,1.769,2026-04-08
Eniris,Kretingos r. sav.,"Tiekėjų g. 34a, Kretinga",95 benzinas,1.86,2026-04-08
Eniris,Šilalės r. sav.,"Paršežerio g.1, Vabalų k.",95 benzinas,1.78,2026-04-08
Eniris,Pagėgių sav.,"Klaipėdos g. 6b, Pagėgiai",95 benzinas,1.83,2026-04-08
Eniris,Plungės r. sav.,"Dariaus ir Girėno g. 31, Plungė",95 benzinas,1.82,2026-04-08
Eniris,Telšių r. sav.,"Telšių g. 2 b, Rainių k.",95 benzinas,1.85,2026-04-08
Eniris,Raseinių r. sav.,"Jurbarko g. 34, Raseiniai",95 benzinas,1.79,2026-04-08
Eniris,Kretingos r. sav.,"Platelių g. 1 a, Laivių k.",95 benzinas,1.86,2026-04-08
Eniris,Tauragės r. sav.,"Adakavo g. 1, Skaudvilė",95 benzinas,1.83,2026-04-08
Eniris,Šilalės r. sav.,"Rytinio Kelio g. 2a, Šilalė",95 benzinas,1.76,2026-04-08
Eniris,Telšių r. sav.,"Mažeikių g. 1, Telšiai",95 benzinas,1.85,2026-04-08
Eniris,Šilutės r. sav.,"Klaipėdos g. 76, Žemaičių Naumiestis",95 benzinas,1.78,2026-04-08
Eniris,Plungės r. sav.,"Minijos g. 1, Aleksandravo k.",95 benzinas,1.82,2026-04-08
Eniris,Akmenės r. sav.,"Plento g.2, Ventos m.",95 benzinas,1.749,2026-04-08
Eniris,Kaišiadorių r. sav.,"Bačkonių k., Pastrėvio g. 1A,",95 benzinas,1.759,2026-04-08
Eniris,Mažeikių r. sav.,"Laižuvos g. 82 d, Mažeikiai,",95 benzinas,1.719,2026-04-08
Eniris,Skuodo r. sav.,"Skuodo g. 7, Stripinių k.",95 benzinas,1.84,2026-04-08
Eniris,Lazdijų r. sav.,"Alytaus g. 59, Krosnos k.",95 benzinas,1.729,2026-04-08
Eniris,Kelmės r. sav.,"Žemaitės g. 52, Užventis",95 benzinas,1.76,2026-04-08
Eniris,Kėdainių r. sav.,Ruoščių k. 1,95 benzinas,1.733,2026-04-08
Eniris,Akmenės r. sav.,Skabeikių k. 4,95 benzinas,1.749,2026-04-08
Eniris,Vilniaus r. sav.,Kalnuotės 1 k.,95 benzinas,1.699,2026-04-08
Eniris,Telšių r. sav.,"Beržų g. 24/Drąsiųjų 7, Tryškiai",95 benzinas,1.84,2026-04-08
Naftrus,Raseinių r. sav.,"Šilo g. 1, Ylių k.",95 benzinas,1.71,2026-04-08
