imone,savivaldybe,adresas,tipas,kaina,data
Apsaga,Šiaulių m. sav.,"Vilniaus g.16, Šiauliai",95 benzinas,1.819,2026-04-08
Apsaga,Šiaulių m. sav.,"Pramonės g. 3A, Šiauliai",95 benzinas,1.81,2026-04-08
Apsaga,Šiaulių m. sav.,"Pramonės g. 28, Šiauliai",95 benzinas,1.819,2026-04-08
Apsaga,Šiaulių m. sav.,"Nuklono g. 4, Šiauliai",95 benzinas,1.819,2026-04-08
Apsaga,Šiaulių m. sav.,"Tilžės g. 223, Šiauliai",95 benzinas,1.819,2026-04-08
Apsaga,Šiaulių m. sav.,"V. Bielskio g. 47A, Šiauliai",95 benzinas,1.81,2026-04-08
Apsaga,Radviliškio r. sav.,"Beržų g. 19, Baisogalos k.",95 benzinas,1.835,2026-04-08
Apsaga,Joniškio r. sav.,Radikių k.,95 benzinas,1.849,2026-04-08
Baltic Petroleum,Alytaus m. sav.,"Alytus, Santaikos g. 33",95 benzinas,1.865,2026-04-08
Baltic Petroleum,Anykščių r. sav.,"Anykščiai, Mindaugo g. 23",95 benzinas,1.699,2026-04-08
Baltic Petroleum,Biržų r. sav.,Valantiškio k.,95 benzinas,1.809,2026-04-08
Baltic Petroleum,Druskininkų sav.,"Druskininkai, Gardino g. 79",95 benzinas,1.869,2026-04-08
Baltic Petroleum,Druskininkų sav.,"Druskininkai, Leipalingio g. 26",95 benzinas,1.869,2026-04-08
Baltic Petroleum,Druskininkų sav.,"Leipalingis, Merkinės g. 37",95 benzinas,1.869,2026-04-08
Baltic Petroleum,Jonavos r. sav.,"Spanėnų k., Plento g. 46",95 benzinas,1.859,2026-04-08
Baltic Petroleum,Jonavos r. sav.,"Šilų sen., Gudžionių k., Plento g. 24",95 benzinas,1.849,2026-04-08
Baltic Petroleum,Jurbarko r. sav.,"Jurbarkas, Muitinės g. 22A",95 benzinas,1.79,2026-04-08
Baltic Petroleum,Kaišiadorių r. sav.,"Triliškių k., Kauno pl. 5",95 benzinas,1.789,2026-04-08
Baltic Petroleum,Kauno m. sav.,"Kaunas, Chemijos g. 6",95 benzinas,1.769,2026-04-08
Baltic Petroleum,Kauno m. sav.,"Kaunas, Jonavos g. 60A",95 benzinas,1.769,2026-04-08
Baltic Petroleum,Kauno m. sav.,"Kaunas, Minkovskių g. 132",95 benzinas,1.789,2026-04-08
Baltic Petroleum,Kauno m. sav.,"Kaunas, Raudondvario pl. 82",95 benzinas,1.769,2026-04-08
Baltic Petroleum,Kauno m. sav.,"Kaunas, Taikos pr. 120",95 benzinas,1.769,2026-04-08
Baltic Petroleum,Kauno m. sav.,"Kaunas, Vaidoto g. 153",95 benzinas,1.849,2026-04-08
Baltic Petroleum,Kauno r. sav.,"Pagirių k., Marijampolės g. 1",95 benzinas,1.769,2026-04-08
Baltic Petroleum,Kauno r. sav.,Jaučiakių k.,95 benzinas,1.849,2026-04-08
Baltic Petroleum,Klaipėdos m. sav.,"Klaipėda, Liepų g. 79A",95 benzinas,1.779,2026-04-08
Baltic Petroleum,Klaipėdos m. sav.,"Klaipėda, Šilutės pl. 1",95 benzinas,1.789,2026-04-08
Baltic Petroleum,Kėdainių r. sav.,"Kėdainiai, J. Basanavičiaus g. 95B",95 benzinas,1.849,2026-04-08
Baltic Petroleum,Lazdijų r. sav.,"Lazdijai, Turistų g. 88",95 benzinas,1.789,2026-04-08
Baltic Petroleum,Marijampolės sav.,"Marijampolė, P. Armino g. 69",95 benzinas,1.809,2026-04-08
Baltic Petroleum,Marijampolės sav.,"Marijampolė, Vasaros g. 15",95 benzinas,1.809,2026-04-08
Baltic Petroleum,Marijampolės sav.,Pietarių k. Kauno g. 164,95 benzinas,1.809,2026-04-08
